*
time	TMax	Z	zeta	temperature	Y-AR	Y-O	Y-O2	Y-H	Y-OH	Y-H2	Y-HO2	Y-H2O2	Y-CH	Y-CO	Y-CH2	Y-HCO	Y-1-CH2	Y-CH3	Y-CH2O	Y-CH4	Y-CO2	Y-CH2OH	Y-CH3O	Y-CH3OH	Y-C2H	Y-C2H2	Y-HCCO	Y-C2H3	Y-CH2CO	Y-C2H4	Y-C2H5	Y-C2H6	Y-H2O	Y-N2	Y-C	Y-HCCOH	Y-N	Y-NO	Y-N2O	Y-NO2	Y-NH	Y-HNO	Y-NH2	Y-NNH	Y-CN	Y-NCO	Y-HCN	Y-HOCN	Y-HNCO	Y-H2CN	Y-HCNN	Y-HCNO	Y-NH3	ProgVar	ZBilger	CMassFrac	HMassFrac	OMassFrac	ZBarlow	density	chi	SumMH	Cp	mu	lambdaOverCp	W	ProdRateProgVar	ProdRateCO2	ProdRateH2O	ProdRateH2	ProdRateCO	TotalEnthalpy	TotalEnthalpy2	MonitorFunc	ProdRate-NO	ProdRatePos-NO	ProdRateNeg-NO	ProdRateNegOverYNO-NO	ProdRate-CH4	ProdRatePos-CH4	ProdRateNeg-CH4	ProdRateNegOverYNO-CH4	
10.06	2105.06	0.177	0.177	2059.21	1.77089e-25	0.00148638	0.0186182	0.000234115	0.00590655	0.0012918	4.85327e-06	1.1067e-06	3.10079e-09	0.0197028	1.59033e-08	4.9159e-08	1.53485e-09	7.32833e-08	1.91322e-07	6.33829e-08	0.0734426	1.37345e-09	1.17974e-10	1.85418e-09	2.65569e-09	3.69884e-07	5.74422e-08	1.46994e-10	8.0999e-08	5.57559e-10	1.43727e-13	7.25897e-14	0.151565	0.727664	1.79874e-09	8.41489e-09	1.37912e-08	7.92249e-05	1.54629e-07	1.47295e-08	1.30023e-08	2.26994e-08	1.21164e-08	1.07883e-08	8.4302e-09	4.04272e-08	1.77872e-06	1.21836e-08	3.03749e-07	1.63658e-11	5.16583e-12	1.65519e-08	1.46553e-08	0.246002	0.177	0.177	0.177	-6.21365e+27	0.177	0.151109	59	-1.36527e+08	1565.89	6.86162e-05	9.21104e-05	25.8716	12.8352	20.8676	6.2809	-1.22111	-13.0921	-225222	-225198	17.4669	0.0299803	0.0540776	-0.0240973	-304.163	-0.0075183	0.0024222	-0.0099405	-156833	
10.07	2105.06	0.177	0.177	2059.21	1.76314e-25	0.00148638	0.0186182	0.000234115	0.00590655	0.0012918	4.85327e-06	1.1067e-06	3.10079e-09	0.0197028	1.59033e-08	4.9159e-08	1.53485e-09	7.32832e-08	1.91322e-07	6.33827e-08	0.0734426	1.37345e-09	1.17974e-10	1.85418e-09	2.65569e-09	3.69885e-07	5.74423e-08	1.46993e-10	8.09991e-08	5.57553e-10	1.43726e-13	7.25893e-14	0.151565	0.727664	1.79874e-09	8.41491e-09	1.37916e-08	7.92288e-05	1.54629e-07	1.47302e-08	1.30027e-08	2.27004e-08	1.21169e-08	1.07883e-08	8.43052e-09	4.04287e-08	1.77879e-06	1.21841e-08	3.03762e-07	1.63665e-11	5.16583e-12	1.65527e-08	1.46559e-08	0.246002	0.177	0.177	0.177	-6.21365e+27	0.177	0.151109	59	-1.36527e+08	1565.89	6.86162e-05	9.21104e-05	25.8716	12.8352	20.8675	6.28091	-1.22111	-13.0921	-225222	-225198	17.4669	0.0299812	0.0540796	-0.0240985	-304.163	-0.00751827	0.0024222	-0.00994047	-156832	
10.08	2105.06	0.177	0.177	2059.21	1.75543e-25	0.00148638	0.0186182	0.000234115	0.00590655	0.0012918	4.85327e-06	1.10669e-06	3.10079e-09	0.0197028	1.59033e-08	4.9159e-08	1.53485e-09	7.32831e-08	1.91322e-07	6.33825e-08	0.0734426	1.37345e-09	1.17974e-10	1.85418e-09	2.65569e-09	3.69885e-07	5.74424e-08	1.46992e-10	8.09992e-08	5.57548e-10	1.43724e-13	7.25889e-14	0.151565	0.727664	1.79874e-09	8.41493e-09	1.3792e-08	7.92328e-05	1.5463e-07	1.4731e-08	1.30032e-08	2.27015e-08	1.21174e-08	1.07883e-08	8.43084e-09	4.04303e-08	1.77886e-06	1.21845e-08	3.03774e-07	1.63671e-11	5.16583e-12	1.65536e-08	1.46566e-08	0.246002	0.177	0.177	0.177	-6.21365e+27	0.177	0.151109	59	-1.36527e+08	1565.89	6.86162e-05	9.21104e-05	25.8716	12.8352	20.8675	6.28092	-1.22111	-13.0921	-225222	-225198	17.4669	0.029982	0.0540816	-0.0240997	-304.163	-0.00751824	0.0024222	-0.00994044	-156832	
10.09	2105.06	0.177	0.177	2059.21	1.74775e-25	0.00148638	0.0186182	0.000234115	0.00590655	0.0012918	4.85327e-06	1.10669e-06	3.10079e-09	0.0197028	1.59033e-08	4.91589e-08	1.53485e-09	7.32831e-08	1.91321e-07	6.33824e-08	0.0734426	1.37345e-09	1.17974e-10	1.85418e-09	2.6557e-09	3.69886e-07	5.74425e-08	1.46992e-10	8.09993e-08	5.57542e-10	1.43723e-13	7.25886e-14	0.151565	0.727664	1.79874e-09	8.41494e-09	1.37924e-08	7.92366e-05	1.5463e-07	1.47317e-08	1.30036e-08	2.27025e-08	1.21179e-08	1.07883e-08	8.43116e-09	4.04318e-08	1.77892e-06	1.2185e-08	3.03786e-07	1.63677e-11	5.16583e-12	1.65544e-08	1.46572e-08	0.246002	0.177	0.177	0.177	-6.21365e+27	0.177	0.151109	59	-1.36527e+08	1565.89	6.86162e-05	9.21104e-05	25.8716	12.8352	20.8675	6.28092	-1.22111	-13.0921	-225222	-225198	17.4669	0.0299828	0.0540836	-0.0241008	-304.163	-0.00751822	0.00242219	-0.00994041	-156832	
1.01	1426.18	0.177	0.177	1211.65	8.94121e-24	4.6344e-08	0.140978	8.20549e-09	1.7339e-07	7.24529e-05	1.2938e-05	1.50876e-06	3.15725e-16	0.00445965	1.33036e-10	8.59826e-09	9.84012e-12	3.09077e-05	0.000553508	0.0338191	0.00147105	1.37409e-10	3.39175e-08	3.87235e-05	5.79901e-14	5.7803e-06	4.12212e-11	5.27849e-10	4.42687e-07	0.000282558	5.60144e-08	0.000439042	0.0901321	0.727702	1.30032e-21	5.53945e-08	9.86166e-18	7.01658e-10	5.61871e-08	2.69527e-10	1.17891e-15	2.40005e-14	3.54929e-15	1.57881e-13	3.41817e-18	8.74371e-15	2.16312e-10	1.04426e-12	3.54096e-11	3.06081e-17	1.03881e-17	2.96027e-12	1.52351e-12	0.0961353	0.177	0.177	0.177	-6.21364e+27	0.177	0.262858	59	-1.19376e+06	1439.58	4.75313e-05	6.00219e-05	26.4809	0.0821334	0.00298476	0.0556643	0.00160892	0.0218754	-225222	-225225	4.74864	-3.71923e-08	1.20005e-08	-4.91928e-08	-70.1094	-0.055816	0.022978	-0.0787941	-2.32987	
10.1	2105.06	0.177	0.177	2059.21	1.7401e-25	0.00148637	0.0186182	0.000234114	0.00590654	0.0012918	4.85326e-06	1.10669e-06	3.10079e-09	0.0197028	1.59033e-08	4.91589e-08	1.53485e-09	7.3283e-08	1.91321e-07	6.33822e-08	0.0734426	1.37345e-09	1.17974e-10	1.85418e-09	2.6557e-09	3.69887e-07	5.74426e-08	1.46991e-10	8.09994e-08	5.57536e-10	1.43722e-13	7.25882e-14	0.151565	0.727664	1.79874e-09	8.41496e-09	1.37928e-08	7.92405e-05	1.5463e-07	1.47324e-08	1.30041e-08	2.27035e-08	1.21184e-08	1.07883e-08	8.43148e-09	4.04334e-08	1.77899e-06	1.21855e-08	3.03799e-07	1.63683e-11	5.16584e-12	1.65552e-08	1.46579e-08	0.246002	0.177	0.177	0.177	-6.21365e+27	0.177	0.151109	59	-1.36527e+08	1565.89	6.86162e-05	9.21104e-05	25.8716	12.8352	20.8674	6.28093	-1.22112	-13.0921	-225222	-225198	17.4669	0.0299836	0.0540856	-0.024102	-304.163	-0.00751819	0.00242219	-0.00994038	-156832	
10.11	2105.06	0.177	0.177	2059.21	1.73249e-25	0.00148637	0.0186182	0.000234114	0.00590654	0.0012918	4.85326e-06	1.10669e-06	3.10079e-09	0.0197028	1.59033e-08	4.91589e-08	1.53485e-09	7.32829e-08	1.91321e-07	6.3382e-08	0.0734426	1.37345e-09	1.17973e-10	1.85417e-09	2.65571e-09	3.69887e-07	5.74427e-08	1.4699e-10	8.09996e-08	5.57531e-10	1.4372e-13	7.25878e-14	0.151565	0.727664	1.79874e-09	8.41498e-09	1.37933e-08	7.92443e-05	1.5463e-07	1.47331e-08	1.30046e-08	2.27045e-08	1.21189e-08	1.07883e-08	8.4318e-09	4.04349e-08	1.77906e-06	1.21859e-08	3.03811e-07	1.63689e-11	5.16584e-12	1.6556e-08	1.46585e-08	0.246002	0.177	0.177	0.177	-6.21365e+27	0.177	0.151109	59	-1.36527e+08	1565.89	6.86162e-05	9.21104e-05	25.8716	12.8352	20.8674	6.28093	-1.22112	-13.0921	-225222	-225198	17.4669	0.0299844	0.0540875	-0.0241032	-304.163	-0.00751816	0.00242219	-0.00994035	-156832	
10.12	2105.06	0.177	0.177	2059.21	1.72491e-25	0.00148637	0.0186181	0.000234114	0.00590654	0.0012918	4.85326e-06	1.10669e-06	3.10079e-09	0.0197028	1.59033e-08	4.91589e-08	1.53485e-09	7.32828e-08	1.91321e-07	6.33818e-08	0.0734426	1.37344e-09	1.17973e-10	1.85417e-09	2.65571e-09	3.69888e-07	5.74428e-08	1.46989e-10	8.09997e-08	5.57525e-10	1.43719e-13	7.25874e-14	0.151565	0.727664	1.79874e-09	8.41499e-09	1.37937e-08	7.92482e-05	1.5463e-07	1.47338e-08	1.3005e-08	2.27054e-08	1.21194e-08	1.07883e-08	8.43211e-09	4.04365e-08	1.77913e-06	1.21864e-08	3.03823e-07	1.63695e-11	5.16584e-12	1.65569e-08	1.46591e-08	0.246002	0.177	0.177	0.177	-6.21365e+27	0.177	0.151109	59	-1.36527e+08	1565.89	6.86162e-05	9.21104e-05	25.8716	12.8352	20.8674	6.28094	-1.22112	-13.092	-225222	-225198	17.4668	0.0299852	0.0540895	-0.0241043	-304.163	-0.00751813	0.00242219	-0.00994032	-156832	
10.13	2105.06	0.177	0.177	2059.21	1.71736e-25	0.00148637	0.0186181	0.000234114	0.00590654	0.0012918	4.85326e-06	1.10669e-06	3.10079e-09	0.0197028	1.59033e-08	4.91588e-08	1.53485e-09	7.32828e-08	1.91321e-07	6.33816e-08	0.0734426	1.37344e-09	1.17973e-10	1.85417e-09	2.65572e-09	3.69888e-07	5.74429e-08	1.46989e-10	8.09998e-08	5.5752e-10	1.43718e-13	7.2587e-14	0.151565	0.727664	1.79874e-09	8.41501e-09	1.37941e-08	7.9252e-05	1.5463e-07	1.47345e-08	1.30055e-08	2.27064e-08	1.21199e-08	1.07883e-08	8.43243e-09	4.0438e-08	1.77919e-06	1.21868e-08	3.03835e-07	1.63701e-11	5.16584e-12	1.65577e-08	1.46598e-08	0.246002	0.177	0.177	0.177	-6.21365e+27	0.177	0.151109	59	-1.36526e+08	1565.89	6.86162e-05	9.21104e-05	25.8716	12.8352	20.8674	6.28094	-1.22112	-13.092	-225222	-225198	17.4668	0.029986	0.0540914	-0.0241055	-304.163	-0.0075181	0.00242218	-0.00994029	-156832	
10.14	2105.06	0.177	0.177	2059.21	1.70985e-25	0.00148637	0.0186181	0.000234114	0.00590654	0.0012918	4.85326e-06	1.10669e-06	3.10079e-09	0.0197028	1.59033e-08	4.91588e-08	1.53485e-09	7.32827e-08	1.91321e-07	6.33814e-08	0.0734426	1.37344e-09	1.17973e-10	1.85417e-09	2.65572e-09	3.69889e-07	5.7443e-08	1.46988e-10	8.09999e-08	5.57515e-10	1.43716e-13	7.25866e-14	0.151565	0.727664	1.79873e-09	8.41503e-09	1.37945e-08	7.92558e-05	1.5463e-07	1.47352e-08	1.30059e-08	2.27074e-08	1.21204e-08	1.07883e-08	8.43274e-09	4.04395e-08	1.77926e-06	1.21873e-08	3.03847e-07	1.63707e-11	5.16584e-12	1.65585e-08	1.46604e-08	0.246002	0.177	0.177	0.177	-6.21365e+27	0.177	0.151109	59	-1.36526e+08	1565.89	6.86162e-05	9.21104e-05	25.8716	12.8352	20.8673	6.28095	-1.22112	-13.092	-225222	-225198	17.4668	0.0299867	0.0540934	-0.0241066	-304.162	-0.00751808	0.00242218	-0.00994026	-156832	
